method,f,c,d,u_pehe
ablation,0.9681090202821028,0.5044321329639888,0.8420831265192,1.488539844751358
steam,0.9708408953418028,0.46657433056325026,0.9040230982301324,1.9751373827457428
ablation,0.9598592670423791,0.48928901200369346,0.8981865224973042,1.3207233995199203
steam,0.9720157926576878,0.44201292705447826,0.829569366921181,2.0420032739639282
ablation,0.9658292737287866,0.48060941828254855,0.873445510661226,1.5293207243084908
steam,0.974145891043398,0.46343490304709134,0.8467708426023964,1.963719043880701
ablation,0.94071066959595,0.46962142197599255,0.8593710090820844,1.5447126254439354
steam,0.9695832139331996,0.469898430286242,0.9120449959416009,2.0855610612779856
ablation,0.9615117648931767,0.4992613111726686,0.9012144837930667,1.5194136649370193
steam,0.9670073550482376,0.48485687903970454,0.9044000495512177,1.9947370812296867
ablation,0.9824370363294807,0.4915050784856879,0.903356547598849,1.3740806058049202
steam,0.8329066768554781,0.4422899353647277,0.8618670564966047,2.079523046500981
ablation,0.916680994682714,0.4140350877192982,0.8549271671313298,1.6579881310462952
steam,0.9735695863979368,0.448291782086796,0.8520127798099665,1.8860550876706839
ablation,0.9702009106250199,0.5018467220683288,0.8909177166591203,1.393905844539404
steam,0.9662018021460185,0.4414589104339798,0.8763335419712055,1.983782533556223
ablation,0.9511701213105359,0.4852262234533703,0.8905141294767434,1.4293430298566818
steam,0.9633457509472411,0.46149584487534623,0.8925014214166156,2.0686936881393194
ablation,0.9647116884770911,0.495752539242844,0.8519033289620792,1.2384107932448387
steam,0.9778074951443946,0.45290858725761773,0.9005205550091956,2.3567172531038523
