method,f,c,d,u_pehe,u_policy,u_int
standard,0.7387616270998195,0.3279328057753713,0.721264636521823,4.914285242557526,0.440625,0.17308079981625932
seq_new,0.8353880327641261,0.36207135915590727,0.966510645291073,2.388982445001602,0.8916666666666667,-0.30798006834720204
standard,0.7160766347355269,0.3068860197140081,0.8253455407399409,4.900623142719269,0.3145833333333333,-0.17907021694268221
seq_new,0.8354296820769124,0.3490628904623073,0.9417643215009626,2.1772020161151886,0.9614583333333333,-0.3791513051197416
standard,0.8015410245730945,0.32705817020685823,0.7959039668519015,4.6605992913246155,0.41354166666666664,-0.05647730329356645
seq_new,0.8186588921282798,0.34055254754963193,0.9692899725177706,2.272911459207535,0.6864583333333333,-0.003901837568920391
standard,0.8175343606830487,0.3442871025961405,0.8560466670574717,4.981843113899231,0.21145833333333333,-0.5686549808678695
seq_new,0.7846314035818409,0.300499791753436,0.9650258622872091,1.9346592724323273,0.9520833333333333,0.31954355669529416
standard,0.7410662224073303,0.3290712203248646,0.8122914206220441,5.278303503990173,0.36666666666666664,-0.37973372747510353
seq_new,0.8057059558517284,0.3518672775232543,0.970590489552122,1.724711999297142,0.9739583333333334,0.2610902978783667
standard,0.7930306816604192,0.34012217131750655,0.8430614696036995,5.073883831501007,0.296875,0.18686501849430395
seq_new,0.765361654866028,0.31897820352630857,0.9619340717814139,1.6216982007026672,0.9708333333333333,-0.18844611169484407
standard,0.8009995835068722,0.32371234207968913,0.8280189805902225,4.525284320116043,0.4114583333333333,0.39709909937165766
seq_new,0.8537276134943773,0.36087741218936553,0.9534335379906477,2.031650632619858,0.9635416666666666,-0.42951132676487946
standard,0.7829376648618632,0.3563098708871305,0.8725257117884917,4.656187415122986,0.2864583333333333,0.12481994314301775
seq_new,0.8532833541579897,0.3416909620991253,0.9614157936670744,2.209428548812866,0.93125,-0.09255964170695333
standard,0.8722893238928224,0.3731639594613354,0.8871208711096897,5.648309886455536,0.325,0.3418590438688309
seq_new,0.8139247535748994,0.3250034707760655,0.968639046112693,2.087894469499588,0.9760416666666667,0.17313570774407958
standard,0.8293766486186311,0.36341802026933223,0.7959814684626112,4.686780273914337,0.425,-0.4385385117753158
seq_new,0.7657364986811052,0.30483132028321536,0.9256512554399874,1.7068168222904205,0.9541666666666667,-0.22221451080463692
