method,f,c,d,u_pehe,u_policy,u_int
standard,0.8835858585858586,0.44185606060606053,0.8647169079500489,0.6273555979132652,0.6350710900473934,0.29951807681651227
seq_new,0.8833964646464646,0.4542929292929293,0.9021322351274419,0.4410937540233135,0.7251184834123223,0.28321837146250217
standard,0.8629419191919192,0.47632575757575757,0.8545888992521337,0.611562043428421,0.5592417061611374,-0.02476972052856207
seq_new,0.9022095959595959,0.44665404040404033,0.8761421399225727,0.3943982161581516,0.7156398104265402,0.15382440456827662
standard,0.8858585858585859,0.4856060606060606,0.9052127740416663,0.6176014617085457,0.5592417061611374,0.2116597290729009
seq_new,0.9034722222222222,0.4843434343434343,0.8979374978981451,0.3948770500719547,0.7819905213270142,0.7905570715327395
standard,0.8785984848484849,0.4457702020202021,0.8889139611704097,0.5829268023371696,0.5781990521327014,-0.1469326374451193
seq_new,0.9079741379310344,0.478030303030303,0.8735104174634125,0.4359489753842354,0.7677725118483413,0.6391004567337637
standard,0.8793451758969001,0.46710858585858583,0.8998285584534435,0.5316288992762566,0.6777251184834123,0.09633358535519743
seq_new,0.9248737373737373,0.4638888888888889,0.8625450080406505,0.4336576797068119,0.7677725118483413,0.0771868535195623
