method,f,c,d,u_pehe,u_policy,u_int
standard,0.8602272727272727,0.4196969696969697,0.8265951073488713,0.5935254953801632,0.6350710900473934,-0.137907784290776
seq_new,0.9210227272727273,0.4566287878787879,0.8814071668428736,0.4108853116631508,0.7867298578199052,0.2634455548204258
standard,0.9624455764541971,0.4580808080808081,0.7913100437234121,0.668615847826004,0.44549763033175355,0.5716752486716464
seq_new,0.9256944444444444,0.44911616161616164,0.8630696598279437,0.40268272534012794,0.7819905213270142,0.12658277914098962
standard,0.9252830024381749,0.4222222222222223,0.8046261973601501,0.6586443409323692,0.5592417061611374,0.0912813431159975
seq_new,0.8636450714036921,0.40176767676767666,0.8928893361096,0.4482816867530346,0.6682464454976303,0.23505973111054781
standard,0.9623889759665621,0.4758207070707071,0.8719938553324257,0.5798850134015083,0.6919431279620853,0.1491433381818534
seq_new,0.9152146464646465,0.44172979797979794,0.9303242815392607,0.43332548439502716,0.7156398104265402,0.736866806828336
standard,0.953219696969697,0.4156565656565656,0.870696676857426,0.6109944730997086,0.7535545023696683,0.05552283222880529
seq_new,0.9225052246603971,0.4195075757575757,0.8669455510991249,0.4423491843044758,0.7298578199052133,0.21128799005050675
