method,f,c,d,u_pehe,u_policy,u_int
standard,0.8602272727272727,0.4196969696969697,0.8265951073488713,0.5935254953801632,0.6350710900473934,-0.137907784290776
seq_new,0.9210227272727272,0.4566287878787879,0.8814071668428736,0.4108853116631508,0.7867298578199052,0.2634455548204258
standard,0.9624455764541971,0.4580808080808081,0.7913100437234121,0.668615847826004,0.4454976303317535,0.5716752486716464
seq_new,0.9256944444444444,0.4491161616161616,0.8630696598279437,0.4026827253401279,0.7819905213270142,0.1265827791409896
standard,0.9252830024381749,0.4222222222222223,0.8046261973601501,0.6586443409323692,0.5592417061611374,0.0912813431159975
seq_new,0.8636450714036921,0.4017676767676766,0.8928893361096,0.4482816867530346,0.6682464454976303,0.2350597311105478
standard,0.962388975966562,0.4758207070707071,0.8719938553324257,0.5798850134015083,0.6919431279620853,0.1491433381818534
seq_new,0.9152146464646465,0.4417297979797979,0.9303242815392608,0.4333254843950271,0.7156398104265402,0.736866806828336
standard,0.953219696969697,0.4156565656565656,0.870696676857426,0.6109944730997086,0.7535545023696683,0.0555228322288052
seq_new,0.9225052246603972,0.4195075757575757,0.8669455510991249,0.4423491843044758,0.7298578199052133,0.2112879900505067
standard,0.9296717171717171,0.4384469696969698,0.9035517402788787,0.5916569568216801,0.6966824644549763,0.0472906869672597
seq_new,0.9347853535353536,0.4607954545454545,0.8907170815555037,0.4359907954931259,0.7298578199052133,0.4672586748056212
standard,0.9462600139324278,0.4521464646464647,0.7010628632871122,0.6417521238327026,0.4407582938388625,0.4660280456319567
seq_new,0.8760732323232323,0.3847853535353535,0.8824708169116553,0.4064384661614895,0.7772511848341233,0.2907624733408183
standard,0.9132575757575756,0.4071338383838385,0.8374418415861301,0.544091671705246,0.6777251184834123,0.1319616529418069
seq_new,0.962578369905956,0.4272727272727273,0.8659697532986766,0.4072711914777756,0.7962085308056872,0.2162552994934215
standard,0.9115965691396726,0.4747474747474748,0.8258992504617357,0.5546493344008923,0.6492890995260664,0.4562681710739378
seq_new,0.9135928247997214,0.430681818181818,0.9270322429840452,0.4113226532936096,0.7867298578199052,0.3221630939853755
standard,0.8901515151515151,0.4347222222222222,0.8938303428516468,0.5542570725083351,0.6445497630331753,-0.6620305439036999
seq_new,0.9057384186694531,0.4347853535353535,0.8714329676835142,0.40994618460536,0.7914691943127962,0.1634518441297648
