method,f,c,d,u_pehe,u_policy,u_int
standard,0.02020202020202022,0.00713383838383852,0.6231114965382181,1.7717577069997787,0.4786729857819905,-0.02783928267519388
seq_new,0.7407828282828283,0.31679292929292935,0.8994628395945061,0.46008632332086563,0.7156398104265402,0.18036606704293645
standard,0.01691919191919178,0.0033459595959596244,0.48066436257462486,1.1004702672362328,0.7345971563981043,-0.44923908266653784
seq_new,0.15568181818181814,0.07847222222222217,0.8492339840202174,0.46101773902773857,0.6303317535545023,0.3519164167878666
standard,0.018497474747474763,0.0,0.5275741019431193,1.375120535492897,0.5734597156398105,0.07563668296415993
seq_new,0.6744318181818182,0.3064393939393939,0.8835105541286655,0.5083589553833008,0.7109004739336493,0.13005064099041955
standard,0.018750000000000044,0.007070707070707116,0.468389501948023,2.8350040912628174,0.6682464454976303,0.11612815785042416
seq_new,0.6481060606060607,0.30347222222222225,0.9072925992669224,0.46723591908812523,0.7488151658767772,0.06069763293266826
standard,0.009659090909090895,0.0017676767676768623,0.19107747436581812,1.677948772907257,0.6303317535545023,-0.3503123806369534
seq_new,0.6471590909090909,0.31786616161616166,0.9616666417284517,0.4576486051082611,0.6919431279620853,0.46414376107820826
standard,0.610669191919192,0.3398989898989898,0.7407474503743257,0.7746986597776413,0.5023696682464455,0.44132538999478926
seq_new,0.7080808080808081,0.29880050505050515,0.9121928845622838,0.4861511178314686,0.6919431279620853,0.06668728740286849
standard,0.054545454545454564,0.032638888888888884,0.5968697070162297,1.9028158262372017,0.5781990521327014,0.24421924180883356
seq_new,0.024179292929292995,0.019255050505050608,0.8261608101165379,0.5180847980082035,0.6303317535545023,0.11986599512223853
standard,0.01433080808080811,0.010669191919191912,0.5598455923013546,2.6709826588630676,0.7203791469194313,0.02989509979906528
seq_new,0.039393939393939426,0.007070707070707116,0.8354238722209638,0.5391640365123749,0.5497630331753555,0.3357060307090165
standard,0.018497474747474763,0.00909090909090915,0.39218239412684874,1.1283341348171234,0.5402843601895735,0.2579917360364467
seq_new,0.6031565656565657,0.31344696969696983,0.9148164175898765,0.44406506419181824,0.6919431279620853,-0.09481796390292252
standard,0.011363636363636354,0.006628787878787956,0.15515656667095956,2.252003252506256,0.3080568720379147,0.15321770600756715
seq_new,0.5933080808080807,0.2968434343434343,0.9017412659676937,0.4568139426410198,0.7014218009478673,0.17722342708944624
