method,f,c,d,u_pehe,u_policy,u_int
standard,0.9231365377917102,0.4567550505050505,0.8355156329780533,0.5577429160475731,0.5118483412322274,0.12287441882752555
seq_new,0.8741466388018112,0.46843434343434354,0.8907746973373953,0.4293694272637367,0.7393364928909952,0.27075373765391164
standard,0.9616553465691396,0.47537878787878785,0.8198093811306936,0.5902068093419075,0.5639810426540285,-0.1561969620027805
seq_new,0.9160244688261929,0.4770833333333333,0.9104706967426881,0.4199150390923023,0.8151658767772512,0.276542843971446
standard,0.92408350748868,0.47550505050505043,0.8193077504757195,0.5852154344320297,0.5545023696682464,-0.16052708258702553
seq_new,0.9038814872866597,0.48478535353535357,0.873477628734827,0.418544702231884,0.7962085308056872,0.2910862105436997
standard,0.8923915882967607,0.4714015151515152,0.7792638614366312,0.5602225810289383,0.6066350710900474,0.09367386614398682
seq_new,0.892644113549286,0.458080808080808,0.9164539716802412,0.43116872757673264,0.7014218009478673,0.4514958388519815
standard,0.9523402124695228,0.4870580808080808,0.702109921377112,0.5511464476585388,0.4265402843601896,0.11449717816339741
seq_new,0.9019875478927203,0.44419191919191914,0.8897116050023581,0.43076880276203156,0.8056872037914692,0.32698935565211235
