method,f,c,d,u_pehe,u_policy,u_int
standard,0.8739158829676071,0.4778409090909091,0.8263012575678047,0.5012704990804195,0.6398104265402843,-0.3474745584368918
seq_new,0.9369622953674678,0.4428030303030305,0.9106491044885128,0.4231127016246319,0.8151658767772512,0.3569345956688473
standard,0.9085205503308952,0.4633838383838384,0.8439705016425604,0.5673451572656631,0.5260663507109005,-0.4879375725147026
seq_new,0.8929271159874608,0.4712752525252525,0.882751736007249,0.4280968494713306,0.7914691943127962,0.4244412645367021
standard,0.9604471438523162,0.459469696969697,0.8745903542885756,0.5393208861351013,0.6350710900473934,-0.3530609839445569
seq_new,0.929155781957506,0.4804924242424242,0.8550788929978456,0.435470137745142,0.7203791469194313,0.520336182583535
standard,0.8717694183211424,0.4547348484848484,0.8092792958853712,0.647272877395153,0.5071090047393365,-0.3913799815982006
seq_new,0.9289663880181122,0.4719065656565657,0.8697471219959888,0.4335201531648636,0.7251184834123223,0.3806848432459259
standard,0.9312042842215256,0.4604797979797979,0.81239235186194,0.6200627684593201,0.5876777251184834,-0.2291990901721405
seq_new,0.8927921455938697,0.4826388888888889,0.8622302045585698,0.4390588663518429,0.7014218009478673,0.4180619077754713
standard,0.9231365377917102,0.4567550505050505,0.8355156329780533,0.5577429160475731,0.5118483412322274,0.1228744188275255
seq_new,0.8741466388018112,0.4684343434343435,0.8907746973373953,0.4293694272637367,0.7393364928909952,0.2707537376539116
standard,0.9616553465691396,0.4753787878787878,0.8198093811306936,0.5902068093419075,0.5639810426540285,-0.1561969620027805
seq_new,0.9160244688261928,0.4770833333333333,0.910470696742688,0.4199150390923023,0.8151658767772512,0.276542843971446
standard,0.92408350748868,0.4755050505050504,0.8193077504757195,0.5852154344320297,0.5545023696682464,-0.1605270825870255
seq_new,0.9038814872866596,0.4847853535353535,0.873477628734827,0.418544702231884,0.7962085308056872,0.2910862105436997
standard,0.8923915882967607,0.4714015151515152,0.7792638614366312,0.5602225810289383,0.6066350710900474,0.0936738661439868
seq_new,0.892644113549286,0.458080808080808,0.9164539716802412,0.4311687275767326,0.7014218009478673,0.4514958388519815
standard,0.9523402124695228,0.4870580808080808,0.702109921377112,0.5511464476585388,0.4265402843601896,0.1144971781633974
seq_new,0.9019875478927204,0.4441919191919191,0.8897116050023581,0.4307688027620315,0.8056872037914692,0.3269893556521123
