method,hyperparam,f,c,d,u_pehe
standard,5,0.5688531905399375,0.4074966532797858,0.7536243841025032,2.920655369758606
steam,5,0.5790272199910753,0.4190093708165997,0.9063374384621056,1.860516905784607
standard,5,0.5087907184292727,0.3718875502008031,0.8162638987131645,2.9788325130939484
steam,5,0.5717090584560464,0.3946452476572958,0.8695791046835037,1.9378280341625214
standard,5,0.49692101740294514,0.40713966979027216,0.8317503006451378,2.8395233154296875
steam,5,0.5636769299419903,0.402677376171352,0.8695738944969176,2.416823372244835
standard,5,0.5009370816599733,0.4099955377063811,0.8138340080949591,2.888704478740692
steam,5,0.5665327978580991,0.391789379741187,0.8916677976439913,2.5666255354881287
standard,5,0.5119143239625167,0.3822400713966978,0.818377948727217,2.943710684776306
steam,5,0.5451137884872824,0.4170459616242749,0.8697373788424112,2.18747615814209
standard,50,0.5713520749665328,0.32815707273538597,0.835687750878939,2.1864208579063416
steam,50,0.6531905399375278,0.4274877286925479,0.9068083516315371,2.105038344860077
standard,50,0.6229361892012494,0.44649709950914773,0.8341928285723355,2.3558425456285477
steam,50,0.6839803659080768,0.4221329763498438,0.8872975695178424,1.9961149096488953
standard,50,0.6207050423917895,0.4010709504685407,0.8295683332222021,2.34869447350502
steam,50,0.6513163766175813,0.46898705934850515,0.9035915613350173,1.6464985609054565
standard,50,0.6560464078536368,0.43569834895136106,0.8480215751528581,2.465054988861084
steam,50,0.6934404283801875,0.4556894243641232,0.8560749251737505,2.146483361721039
standard,50,0.6406961178045515,0.44167782240071396,0.883603009064944,2.0555475056171417
steam,50,0.6391789379741188,0.4480142793395806,0.8565679480755891,1.905955046415329
standard,100,0.61285140562249,0.4340026773761714,0.9019596559036981,2.3180951178073883
steam,100,0.7027219991075413,0.4628290941543953,0.8732380275909669,2.1427252292633057
standard,100,0.6735385988398037,0.4517626059794735,0.8389324531069648,2.412051647901535
steam,100,0.6632753235162874,0.4463186077643909,0.9062205020787233,2.045749694108963
standard,100,0.6016064257028113,0.4373047746541723,0.8521945180426771,2.3508924543857574
steam,100,0.6956715751896474,0.41481481481481475,0.9107055597980145,1.9337389171123505
standard,100,0.5924141008478359,0.4054439982150826,0.8647294571269704,3.116173356771469
steam,100,0.6647032574743419,0.4200803212851406,0.8702942953224837,2.1496793031692505
standard,100,0.5539491298527444,0.3603748326639893,0.853165381792437,2.601455271244049
steam,100,0.6839803659080768,0.44953145917001336,0.8540691626232588,2.211028903722763
standard,300,0.6614904060687193,0.4356091030789826,0.8546495235158995,2.788396954536438
steam,300,0.7083444890673807,0.43900044622936185,0.8912389540154619,1.9675490856170654
standard,300,0.6437304774654173,0.432128514056225,0.8830467063550893,2.2867960333824158
steam,300,0.6752342704149933,0.45925925925925937,0.8914417394554225,2.349556028842926
standard,300,0.613743864346274,0.48987059348505135,0.8810841527980455,2.672118693590164
steam,300,0.6985274431057563,0.4846050870147256,0.915517236570871,1.87006214261055
standard,300,0.5795626952253459,0.40267737617135213,0.7769311154739021,2.4312517046928406
steam,300,0.7278893351182507,0.45577867023650154,0.908884966514545,1.9620290994644165
standard,300,0.5952699687639447,0.40776439089692096,0.8525755438557927,1.9527420103549957
steam,300,0.6846050870147256,0.448995983935743,0.8998182367463351,1.989083617925644
standard,500,0.6505131637661759,0.4157965194109773,0.861649604147009,2.459342807531357
steam,500,0.6835341365461848,0.5078090138331102,0.8920906937776643,1.9731406569480896
standard,500,0.5878625613565374,0.42079428826416765,0.8864203802068441,1.923514574766159
steam,500,0.6972780008924587,0.44953145917001336,0.898583075527916,2.1006116569042206
standard,500,0.6912985274431058,0.44828201695671577,0.8734224070029,2.824423223733902
steam,500,0.7089692101740294,0.4442659526996877,0.8486494072009269,2.075110286474228
standard,500,0.6193663543061134,0.39741186970102627,0.8706640383890554,2.103600651025772
steam,500,0.7184292726461401,0.48157072735385986,0.8986027824722654,2.069138318300247
standard,500,0.5874163319946453,0.3952699687639446,0.8809790982040124,2.499611258506775
steam,500,0.6975457385095939,0.4827309236947791,0.8106417656814102,1.9147016406059265
