method,hyperparam,f,c,d,u_pehe
standard,1,0.6149933065595716,0.3914323962516733,0.8554673826555655,2.7485281229019165
steam,1,0.6546184738955823,0.4605087014725569,0.9154760808557334,2.308962851762772
standard,1,0.5991075412762159,0.4070504239178938,0.8855852795829197,2.1402381360530853
steam,1,0.6557786702365016,0.4770191878625613,0.9187066884531594,1.8357945531606676
standard,1,0.5624274877286926,0.3856314145470771,0.8571206100753491,2.328782618045807
steam,1,0.6575635876840696,0.474966532797858,0.8946142985125778,2.0350921750068665
standard,1,0.5701026327532351,0.4484605087014726,0.8696786524538697,2.277847677469253
steam,1,0.5961624274877287,0.4182061579651941,0.9099680349667688,1.9431613981723783
standard,1,0.6237394020526551,0.41731369924141,0.8324803510702143,2.893083542585373
steam,1,0.6295403837572512,0.4598839803659081,0.8912172455095189,1.9584941565990448
standard,2,0.6580990629183401,0.4389112003569836,0.8973762509924499,2.617285251617432
steam,2,0.7370816599732262,0.4623828647925033,0.9085562436073216,1.9357804656028748
standard,2,0.6771976796073182,0.441231593038822,0.8875241087214314,2.8189839720726013
steam,2,0.6528335564480143,0.4097278000892459,0.8910905114664904,1.7724763751029968
standard,2,0.6629183400267737,0.4331102186523874,0.8264715529250573,2.4852106869220734
steam,2,0.708433734939759,0.4730031236055333,0.8910104308928747,1.85212916135788
standard,2,0.7192355629414209,0.441231593038822,0.9065008005444776,2.6095818281173706
steam,2,0.7030789825970549,0.4934404283801874,0.8834872705165864,2.018684446811676
standard,2,0.6736278447121821,0.4060687193217313,0.8817172220922807,2.598910093307495
steam,2,0.6426595269968765,0.4832663989290495,0.8497812790622437,2.0611851513385773
standard,3,0.5674252565818831,0.4481035252119589,0.8356274007990571,2.4203200936317444
steam,3,0.7069165551093262,0.4450691655510933,0.9207240838047916,2.076573461294174
standard,3,0.7222668451584113,0.4541722445336903,0.6816863719214188,2.166931450366974
steam,3,0.7155303205157795,0.5061133422579205,0.8847528711265253,2.1303266882896423
standard,3,0.5374386434627398,0.2716644355198572,0.7562044633386809,3.972792863845825
steam,3,0.7546630968317716,0.4496207050423917,0.8890943078370938,2.2084886133670807
standard,3,0.5424364123159304,0.3761713520749665,0.7898583547599362,3.442166566848755
steam,3,0.74386742371786,0.4371262829094154,0.875783128555447,1.920693278312683
standard,3,0.6045515394912986,0.4226684515841142,0.8262401615315955,2.908672481775284
steam,3,0.5448460508701471,0.3668005354752341,0.9108228741326088,1.806057929992676
standard,4,0.4917447568049977,0.2275769745649264,0.7479409868976375,3.507360279560089
steam,4,0.8630075858991522,0.2450691655510932,0.9004376294187703,4.382294744253159
standard,4,0.6079428826416777,0.3711735832217758,0.865822743615062,3.326230227947235
steam,4,0.7392235609103079,0.3103971441320838,0.8615787151224353,2.4817320704460144
standard,4,0.6410531012940652,0.3216421240517626,0.7426478757027735,3.026953399181366
steam,4,0.5743864346273985,0.3945560017849173,0.8700362756964786,2.19991347193718
standard,4,0.5911646586345382,0.1736724676483713,0.842306263312981,3.452923834323883
steam,4,0.6096385542168675,0.3872378402498884,0.880495791976351,2.166071742773056
standard,4,0.5808121374386435,0.1997322623828648,0.8319577349206011,3.0748322010040283
steam,4,0.1952699687639446,0.1678714859437752,0.8801921110326895,2.221364825963974
standard,5,0.4529228023203926,0.3128067826863007,0.7866532048292311,2.385341703891754
steam,5,0.8133437966425088,0.4057117358322178,0.841704581173805,3.4482235312461853
standard,5,0.5667112896028559,0.3247657295850066,0.7732686777808213,3.078654885292053
steam,5,0.6881749219098616,0.3425256581883088,0.8849395423152352,2.2444688081741333
standard,5,0.5103078982597056,0.3382418563141455,0.5333114639513316,2.866805464029312
steam,5,0.6559571619812583,0.4384649709950915,0.8686770858380133,2.052185907959938
standard,5,0.3287817938420347,0.186702365015618,0.6796268223992934,3.8935261368751526
steam,5,0.5921463632307006,0.3313699241410084,0.851443658930423,2.7590582370758057
standard,5,0.590450691655511,0.4034805890227576,0.8353938657033254,2.132213428616524
steam,5,0.7072735385988398,0.4133868808567603,0.9170118014956276,1.985484480857849
