method,hyperparam,f,c,d,u_pehe
standard,leaky_relu,0.6497099509147702,0.40348058902275763,0.8955521269716187,2.765095144510269
steam,leaky_relu,0.7371709058456046,0.4368585452922802,0.908279965413625,2.1403506696224213
standard,leaky_relu,0.7186970102632753,0.41088799643016516,0.8505760271485195,2.2071165442466736
steam,leaky_relu,0.6873717090584561,0.4382864792503348,0.8832726493701053,1.8508029580116272
standard,leaky_relu,0.6354306113342257,0.41561802766622036,0.86024683220937,2.7008279114961624
steam,leaky_relu,0.7126744525996707,0.46381079875055775,0.9127625175980705,1.920128583908081
standard,leaky_relu,0.6583237163212237,0.4434627398482821,0.8849975085231976,2.3931580781936646
steam,leaky_relu,0.6520303435966086,0.489156626506024,0.8859483903170722,2.227553218603134
standard,leaky_relu,0.575368139223561,0.3991967871485944,0.864789580890416,2.345996469259262
steam,leaky_relu,0.704417670682731,0.4569388665774208,0.9178114643606551,2.0414079427719116
standard,selu,0.5900044622936189,0.4352521195894691,0.7967882122199638,2.5508605241775513
steam,selu,0.6900490852298082,0.4144578313253011,0.8969899304077621,2.1568566262722015
standard,selu,0.5930388219544847,0.4118697010263275,0.7781288942808857,2.7725443840026855
steam,selu,0.7267322162212067,0.4922802320392682,0.924623206733062,2.056849628686905
standard,selu,0.6367692994199018,0.40303435966086576,0.7667717935367451,2.3192767649888992
steam,selu,0.6823739402052655,0.4373047746541723,0.895599518214029,1.8814570307731628
standard,selu,0.5817045961624274,0.4058009817045961,0.776875200972022,2.549199730157852
steam,selu,0.6852298081213744,0.43507362784471215,0.8748079949386964,2.216289669275284
standard,selu,0.6172244533690316,0.43917893797411867,0.8244018355857267,2.353014439344406
steam,selu,0.7117358322177598,0.4447121820615796,0.9184257783807022,1.905787080526352
