method,f,c,d,u_pehe,u_policy,u_int
standard,0.91619812583668,0.685586791610888,0.8852654443224436,1.6936961561441422,0.8993288590604027,0.25400491228294464
seq_new,0.7463632307005801,0.4153502900490853,0.8456057479135946,1.5573408603668213,0.959731543624161,0.41934196616530384
standard,0.9290556863469203,0.6880856760374833,0.8816775792495387,2.018635541200638,0.9194630872483222,0.22798430609687215
seq_new,0.7552878179384204,0.41775992860330213,0.9239289499907493,1.5463090538978577,0.8993288590604027,0.29889306344069577
standard,0.9703118989367432,0.7168228469433289,0.8946427191922707,1.8760577291250229,0.8389261744966443,0.6007171508434811
seq_new,0.766532797858099,0.42141900937081667,0.8854561812974309,1.534271940588951,0.959731543624161,-0.23440054077456923
standard,0.9411561956638816,0.6781793842034807,0.8867675932715062,1.8048669397830963,0.9530201342281879,0.43649294921478515
seq_new,0.7842927264614011,0.4224007139669791,0.912564577303669,1.5889097154140472,0.9463087248322147,0.5194009063636631
standard,0.9242794934527382,0.6980812137438643,0.9023764993440909,1.6621556133031845,0.9463087248322147,0.28407779004753636
seq_new,0.7871485943775101,0.42248995983935744,0.9125967952103309,1.5611620098352432,0.9463087248322147,0.7519138946926821
standard,0.9328470972010648,0.664524765729585,0.9095823743075178,2.103009581565857,0.912751677852349,0.33042503036031506
seq_new,0.7909861668897814,0.43302097278000895,0.8426834930481542,1.7699727416038513,0.9463087248322147,-0.10848327496570867
standard,0.9364692486420779,0.6824631860776439,0.9056489692888383,2.204100474715233,0.9395973154362416,0.6820751293772203
seq_new,0.740562248995984,0.41383311021865243,0.8724677879436142,1.7251642048358917,0.9328859060402684,0.32675956417628754
standard,0.9399375278893352,0.6591700133868809,0.874788438825809,2.3418240398168564,0.9328859060402684,0.34720354706516154
seq_new,0.6904953145917001,0.3966979027219991,0.8646440053329925,1.8338089883327484,0.9060402684563759,0.29503082410373993
standard,0.9577682377017649,0.6971887550200804,0.8993964054911096,1.89796581864357,0.87248322147651,0.435355957345246
seq_new,0.7278000892458725,0.3911646586345381,0.8749527358102265,1.717885822057724,0.8791946308724832,0.06749536714317338
standard,0.9322623828647925,0.6922802320392683,0.8445889388934283,1.5820476934313774,0.9261744966442953,0.3145973367726211
seq_new,0.7175368139223561,0.383132530120482,0.8545289021797964,1.8690311759710312,0.9395973154362416,-0.03835330158509313
