method,f,c,d,u_pehe,u_policy,u_int
standard,0.6493529674252565,0.31682284694332885,0.8464167435087396,2.8295968174934387,0.697986577181208,0.13096630392505118
seq_new,0.6961178045515395,0.32030343596608657,0.8797997153101837,1.8779068738222122,0.9328859060402684,0.18906769072681825
standard,0.6614904060687193,0.3261936635430611,0.823417056175086,3.5258513689041138,0.5906040268456376,-0.11347612861380835
seq_new,0.6592592592592592,0.2999553770638107,0.9282230012909782,1.5513944327831268,0.9731543624161074,0.4539377255633959
standard,0.4945113788487283,0.2843373493975905,0.8468218734151549,4.438131809234619,0.24161073825503357,0.03970613916697497
seq_new,0.6413208389112004,0.30147255689424357,0.9142234279297686,1.5153163969516754,0.8993288590604027,0.22931582856932697
standard,0.6532797858099063,0.35109326193663526,0.8093607618856509,4.441806793212891,0.22818791946308725,0.4687433124377176
seq_new,0.67095046854083,0.30548862115127173,0.8675458856740841,1.587049975991249,0.9530201342281879,0.6024979988525165
standard,0.6535475234270416,0.31057563587684067,0.8906432445967964,4.266669452190399,0.5436241610738255,-0.1376567958787434
seq_new,0.673627844712182,0.3041499330655957,0.8914246424659158,1.4499760866165161,0.959731543624161,0.3282185364552528
standard,0.6615796519410977,0.3456492637215529,0.7981541841732529,3.890417754650116,0.5302013422818792,-0.1777178711544824
seq_new,0.5934850513163766,0.327264614011602,0.9372368251558378,1.736522227525711,0.8993288590604027,0.3117728372409009
