method,f,c,d,u_pehe,u_policy,u_int
standard,0.7254465565001433,0.16269621421975988,0.8788515981863484,4.4106428027153015,0.7291666666666666,0.005335191812031348
seq_new,0.7060941828254848,0.18753462603878113,0.8601668601381571,2.3121267929673195,0.9236111111111112,-0.9762491453703462
standard,0.7301939058171745,0.1542012927054479,0.8643206265357715,4.816996484994888,0.1736111111111111,-0.9686255498925234
seq_new,0.7199445983379502,0.19325946445060016,0.9189811225574198,2.2166211381554604,0.7569444444444444,-0.33682220704733024
standard,0.7147737765466298,0.17663896583564176,0.8637464909446,4.854583367705345,0.6666666666666666,-0.7787761809907778
seq_new,0.7144967682363805,0.17479224376731284,0.8948923843647154,1.9239208921790123,0.8541666666666666,-0.024567717171598225
standard,0.7230840258541089,0.17026777469990761,0.8813475406401883,6.375970184803009,0.7916666666666666,-0.9490111270091345
seq_new,0.686426592797784,0.1842105263157895,0.8733709368804247,2.6068863719701767,0.8402777777777778,0.3259756045271566
standard,0.6950138504155124,0.16204986149584477,0.9282345492569272,7.492673546075821,0.04861111111111111,-0.887184156943152
seq_new,0.7271468144044322,0.19095106186518918,0.9060501630484181,3.627259284257889,0.8402777777777778,0.23806986384379916
standard,0.7010156971375807,0.160387811634349,0.9138231339937866,3.313935622572899,0.6805555555555556,-0.7867074570585604
seq_new,0.7230840258541089,0.18965835641735918,0.8942967921663245,1.4216857077553868,0.9027777777777778,-0.04847513410177085
standard,0.7446906740535549,0.15807940904893814,0.8781053652770671,2.720460418611765,0.3541666666666667,-0.47337657679369355
seq_new,0.6776546629732225,0.1933518005540168,0.9093049686432684,2.1972035467624664,0.9375,-0.8366644100583237
standard,0.762511542012927,0.1714681440443212,0.8875766955857705,4.602949097752571,0.19444444444444445,-0.93323642268155
seq_new,0.7184672206832872,0.18808864265927971,0.8911673826494423,2.7688379250466824,0.9652777777777778,0.8195824641138341
standard,0.729639889196676,0.16602031394275163,0.8626093027724975,5.852741405367851,0.7916666666666666,-0.9650382371194868
seq_new,0.7292705447830101,0.16999076638965838,0.8383532040994125,3.645408019423485,0.8541666666666666,-0.43523433395155353
standard,0.7615499729359697,0.15318559556786704,0.8938416979807411,4.492738127708435,0.16666666666666666,0.7114176884284432
seq_new,0.7006463527239151,0.1693444136657435,0.9066495731275102,1.4796129912137985,0.9305555555555556,-0.8275535497912454
