method,f,c,d,u_pehe,u_policy,u_int
standard,0.9737054005275579,0.6251284187144246,0.9696651766266,2.4505515098571777,0.9364583333333333,-0.1870813666545095
seq_new,0.8470220741357768,0.4088713036234902,0.9606456432446597,2.185670107603073,0.934375,0.502750324222997
standard,0.9612661391087047,0.6335971123143134,0.9546358939650855,2.1842025071382523,0.94375,-0.24113528043898105
seq_new,0.8608218797723172,0.4021518811606275,0.9586280477529829,2.0939930975437164,0.9739583333333334,0.3446794530165978
standard,0.9619741774260725,0.611661807580175,0.9555672203696123,3.5827132165431976,0.9625,-0.5131743368421596
seq_new,0.8421491045397751,0.4009024017770372,0.9452956237231173,2.313886344432831,0.9739583333333334,0.11162065260070013
standard,0.9612522560044426,0.6070526169651533,0.962462243808812,1.929006040096283,0.9541666666666667,-0.13039265848284426
seq_new,0.8495765653200056,0.3939469665417188,0.9637890894762553,2.8215311467647552,0.9541666666666667,-0.003283490764858633
standard,0.9492711370262391,0.6100930167985562,0.9596477549493914,2.3983775973320007,0.9541666666666667,-0.10095861377098093
seq_new,0.8489518256282105,0.40331806191864505,0.955808183869633,2.0385358333587646,0.953125,0.39700271950651156
standard,0.9647785644870193,0.615715674024712,0.9477882734950277,2.5017758309841156,0.965625,-0.15241783406200707
seq_new,0.859697348327086,0.4063029293349991,0.9523597404933378,2.6815604865550995,0.9614583333333333,-0.3854698363139981
