method,f,c,d,u_pehe,u_policy,u_int
standard,0.9296717171717171,0.43844696969696983,0.9035517402788789,0.5916569568216801,0.6966824644549763,0.04729068696725976
seq_new,0.9347853535353535,0.46079545454545456,0.8907170815555037,0.4359907954931259,0.7298578199052133,0.4672586748056212
standard,0.9462600139324278,0.4521464646464647,0.7010628632871122,0.6417521238327026,0.44075829383886256,0.4660280456319567
seq_new,0.8760732323232323,0.3847853535353535,0.8824708169116553,0.4064384661614895,0.7772511848341233,0.29076247334081834
standard,0.9132575757575757,0.40713383838383854,0.8374418415861301,0.544091671705246,0.6777251184834123,0.1319616529418069
seq_new,0.9625783699059561,0.42727272727272736,0.8659697532986766,0.4072711914777756,0.7962085308056872,0.21625529949342157
standard,0.9115965691396726,0.4747474747474748,0.8258992504617357,0.5546493344008923,0.6492890995260664,0.45626817107393786
seq_new,0.9135928247997214,0.43068181818181805,0.9270322429840452,0.4113226532936096,0.7867298578199052,0.32216309398537557
standard,0.8901515151515151,0.43472222222222223,0.8938303428516468,0.5542570725083351,0.6445497630331753,-0.6620305439036999
seq_new,0.9057384186694531,0.4347853535353535,0.8714329676835142,0.40994618460536003,0.7914691943127962,0.16345184412976482
