method,f,c,d,u_pehe,u_policy,u_int
standard,0.8739158829676071,0.47784090909090915,0.8263012575678047,0.5012704990804195,0.6398104265402843,-0.34747455843689184
seq_new,0.9369622953674678,0.4428030303030305,0.9106491044885129,0.4231127016246319,0.8151658767772512,0.3569345956688473
standard,0.9085205503308952,0.46338383838383845,0.8439705016425604,0.5673451572656631,0.5260663507109005,-0.4879375725147026
seq_new,0.8929271159874608,0.4712752525252525,0.882751736007249,0.42809684947133064,0.7914691943127962,0.4244412645367021
standard,0.9604471438523162,0.459469696969697,0.8745903542885756,0.5393208861351013,0.6350710900473934,-0.3530609839445569
seq_new,0.929155781957506,0.4804924242424242,0.8550788929978456,0.435470137745142,0.7203791469194313,0.520336182583535
standard,0.8717694183211424,0.45473484848484846,0.8092792958853712,0.647272877395153,0.5071090047393365,-0.3913799815982006
seq_new,0.9289663880181122,0.47190656565656575,0.8697471219959888,0.4335201531648636,0.7251184834123223,0.38068484324592594
standard,0.9312042842215256,0.4604797979797979,0.81239235186194,0.6200627684593201,0.5876777251184834,-0.22919909017214055
seq_new,0.8927921455938697,0.48263888888888895,0.8622302045585698,0.4390588663518429,0.7014218009478673,0.41806190777547136
