method,hyperparam,f,c,d,u_pehe
standard,4,0.49174475680499774,0.22757697456492643,0.7479409868976375,3.507360279560089
steam,4,0.8630075858991522,0.24506916555109326,0.9004376294187703,4.382294744253159
standard,4,0.6079428826416777,0.37117358322177585,0.865822743615062,3.326230227947235
steam,4,0.7392235609103079,0.31039714413208386,0.8615787151224353,2.4817320704460144
standard,4,0.6410531012940652,0.3216421240517626,0.7426478757027735,3.026953399181366
steam,4,0.5743864346273985,0.39455600178491734,0.8700362756964786,2.1999134719371796
standard,4,0.5911646586345382,0.1736724676483713,0.842306263312981,3.452923834323883
steam,4,0.6096385542168675,0.3872378402498884,0.880495791976351,2.166071742773056
standard,4,0.5808121374386435,0.1997322623828648,0.8319577349206011,3.0748322010040283
steam,4,0.19526996876394465,0.1678714859437752,0.8801921110326895,2.221364825963974
standard,5,0.4529228023203926,0.3128067826863007,0.7866532048292311,2.385341703891754
steam,5,0.8133437966425088,0.40571173583221787,0.841704581173805,3.4482235312461853
standard,5,0.5667112896028559,0.3247657295850066,0.7732686777808213,3.0786548852920532
steam,5,0.6881749219098616,0.3425256581883088,0.8849395423152352,2.2444688081741333
standard,5,0.5103078982597056,0.3382418563141455,0.5333114639513316,2.866805464029312
steam,5,0.6559571619812583,0.4384649709950915,0.8686770858380133,2.052185907959938
standard,5,0.32878179384203476,0.186702365015618,0.6796268223992934,3.8935261368751526
steam,5,0.5921463632307006,0.3313699241410084,0.851443658930423,2.7590582370758057
standard,5,0.590450691655511,0.40348058902275763,0.8353938657033254,2.1322134286165237
steam,5,0.7072735385988398,0.41338688085676034,0.9170118014956277,1.9854844808578491
