method,f,c,d,u_pehe
ablation,0.7102457309454394,0.5101346661113425,0.9149988685816536,2.770040273666382
ablation,0.7536998472858532,0.4975982229626545,0.9317697340326582,2.082685202360153
ablation,0.7267249757045675,0.5068027210884354,0.9108852298068046,2.8244400322437286
ablation,0.7718311814521727,0.5097459391920034,0.914173698416397,2.266445606946945
ablation,0.7976954046924892,0.4938081354990975,0.9070007499727863,2.3153984546661377
ablation,0.7622934888241012,0.5107177564903512,0.9134150477795682,2.4867246448993683
ablation,0.7922254616132167,0.5028460363737333,0.9197321693872332,3.035664796829224
ablation,0.7376093294460642,0.5192558656115507,0.9227665323339684,2.699344933032989
ablation,0.6791475773983062,0.5018464528668611,0.9191536337031876,2.554008901119232
ablation,0.7368596418159101,0.5045397750937111,0.9216761706867076,2.2640042901039124
