method,f,c,d,u_pehe
ablation,0.6398036590807675,0.4327532351628738,0.910039260565762,2.297440469264984
ablation,0.6288264167782239,0.4261490406068718,0.8670621651199916,2.33243328332901
ablation,0.6168674698795182,0.4195448460508701,0.8259569177364174,2.285236120223999
ablation,0.6349843819723338,0.4331994645247657,0.8813188838828993,1.9691218137741089
ablation,0.6209727800089244,0.4179384203480588,0.8435564513058573,2.4624846279621124
ablation,0.6790718429272646,0.4132083891120035,0.8659072491061792,1.8668465614318848
ablation,0.6136546184738956,0.4403391343150379,0.8615441950054068,1.979648768901825
ablation,0.5896474788041053,0.4116019634091923,0.8649669197085927,1.8794183731079104
ablation,0.7094154395359213,0.457206604194556,0.8430456254885561,2.300026386976242
ablation,0.6526550647032574,0.4284694332887103,0.8701656317816576,2.028963804244995
