method,f,c,d,u_pehe,u_policy,u_int
standard,0.7087741218936554,0.2770512286547272,0.7926376452399704,4.810592353343964,0.39791666666666664,0.2153202901034455
seq_new,0.7000277662085244,0.30162432319866705,0.969245827990845,3.0718725323677063,0.9541666666666667,-0.2732063084900627
standard,0.7488546438983756,0.29297514924337087,0.690351693091382,4.887207567691803,0.41770833333333335,0.06269661507197001
seq_new,0.6347355268638069,0.30355407469110096,0.968953189344591,3.3823310136795044,0.9583333333333334,-0.020178651990081127
standard,0.7762737748160489,0.3189365542135222,0.8819109051922249,5.407718479633331,0.29270833333333335,-0.5898705347282794
seq_new,0.6633902540608081,0.2907955018742191,0.9571580063575463,2.387937843799591,0.9447916666666667,-0.09179572992453769
standard,0.7518672775232542,0.2607524642510064,0.8730767614781002,4.717047274112701,0.3625,0.5105755264039438
seq_new,0.6804942385117312,0.2597112314313481,0.9568410979455234,2.2056556940078735,0.9604166666666667,0.07042791560079995
standard,0.7101068999028184,0.2781063445786477,0.7970394406412985,4.6913933753967285,0.3885416666666667,-0.7895569583727057
seq_new,0.6749548799111482,0.22014438428432603,0.9671803863718631,3.2089609503746033,0.9697916666666667,-0.08057813150119805
standard,0.7060391503540192,0.28797723170901013,0.841252654792366,5.022418141365051,0.309375,0.1692030747412484
seq_new,0.6914896570873248,0.30967652367069265,0.9706128099193505,1.9614011347293854,0.9625,-0.11802628554430052
standard,0.5927669026794391,0.31903373594335704,0.8723389433225359,5.2578651905059814,0.3458333333333333,0.11543205201306363
seq_new,0.5068443704012218,0.33016798556157156,0.9646287862639938,3.276297390460968,0.9427083333333334,-0.11012612410715544
standard,0.6265028460363737,0.31793697070665006,0.8757477853106916,6.103194713592529,0.26875,0.1312966436487826
seq_new,0.6704706372344855,0.27991114813272244,0.9735840293300395,3.4297573566436768,0.9625,0.5401547595319621
standard,0.7683326391781202,0.33381924198250734,0.8726591927410384,5.153979659080505,0.271875,0.2541784223385479
seq_new,0.7296543107038734,0.27756490351242546,0.9679368205011922,2.628196597099304,0.9166666666666666,0.4967199930850403
standard,0.5234069137859225,0.2971539636262668,0.8744423996964384,6.1720327734947205,0.21770833333333334,0.5798614498703135
seq_new,0.7823684575871165,0.2783562404553659,0.9653580795134057,2.3440590500831604,0.95,0.09921434701439455
