method,f,c,d,u_pehe,u_policy,u_int
standard,0.933383402995472,0.4794191919191919,0.815887789565557,0.5385060720145702,0.6729857819905213,0.26055996485380994
seq_new,0.9268308080808081,0.38983585858585856,0.9283967600290143,0.44892995804548264,0.7251184834123223,0.24074936548239853
standard,0.8715277777777778,0.42234848484848486,0.8688268584174993,0.5684121549129486,0.7535545023696683,0.08736955019883519
seq_new,0.9362591431556949,0.44166666666666665,0.918970581606327,0.40875882655382156,0.7488151658767772,0.39182218823809156
standard,0.9712730755834205,0.454040404040404,0.8215060997390554,0.5686274021863937,0.5971563981042654,-0.09426184892432664
seq_new,0.925515935214211,0.4363005050505051,0.8670128701787692,0.3865096718072891,0.7677725118483413,0.33232876868799716
standard,0.9315025252525253,0.4222222222222223,0.8628081464393383,0.5260621607303619,0.6682464454976303,0.15943969567879132
seq_new,0.9098419540229885,0.4300505050505051,0.8974123521799524,0.4025745280086994,0.7298578199052133,0.2111944323563432
standard,0.9196969696969697,0.4265151515151515,0.7801291737119399,0.6058004945516586,0.6161137440758294,-0.7382075701007009
seq_new,0.9092171717171718,0.41780303030303034,0.8808352299375364,0.45773426443338394,0.7440758293838863,0.1400061898778638
standard,0.9071947927551376,0.45864898989898983,0.7163361465433358,0.6192794591188431,0.5829383886255924,0.12623580209278576
seq_new,0.8952651515151515,0.4448863636363637,0.8981965758961096,0.4489366263151169,0.7535545023696683,0.1332845640714148
standard,0.8580808080808081,0.37916666666666676,0.728542563800115,0.5856780558824539,0.6540284360189573,-0.1779050688347547
seq_new,0.9535614768373389,0.47190656565656564,0.877639180074578,0.3941652625799179,0.7535545023696683,0.19666520391289252
standard,0.9747017589690004,0.4699494949494949,0.8807203458055395,0.5301856845617294,0.6445497630331753,0.3473439085765266
seq_new,0.923036398467433,0.445959595959596,0.8946087892669845,0.44096577912569046,0.7393364928909952,0.08102418673074577
standard,0.9236829501915709,0.4853535353535354,0.8439674884983235,0.5887829922139645,0.5781990521327014,0.5898603820161611
seq_new,0.8933712121212122,0.4292929292929293,0.9146509512011884,0.4117063879966736,0.7156398104265402,0.15722205670252765
standard,0.8707070707070708,0.45473484848484846,0.8492120408938788,0.5846718810498714,0.5497630331753555,0.39085918784667484
seq_new,0.9207789097875305,0.4255681818181818,0.9021896486455855,0.4279701039195061,0.7630331753554502,0.4209770130214236
