method,f,c,d,u_pehe,u_policy,u_int
standard,0.8817223963775688,0.4577020202020202,0.8172303476916378,0.5240844860672951,0.4834123222748815,0.5973311619175454
seq_new,0.9393830546847788,0.47398989898989896,0.9032506101986335,0.4802568629384041,0.7203791469194313,0.24779934283430882
standard,0.9531870428422152,0.4612373737373737,0.8241038595964014,0.591779001057148,0.5781990521327014,0.14121157864869804
seq_new,0.902514367816092,0.4820075757575757,0.8947099482920791,0.5130994394421577,0.6966824644549763,0.48982477310429734
standard,0.9503069487983281,0.47645202020202027,0.8322691827395929,0.5789026021957397,0.5450236966824644,0.006484625773387112
seq_new,0.926103709508882,0.475,0.9169421809368135,0.49038808047771454,0.7156398104265402,0.4480539970048422
standard,0.9551571752002787,0.45479797979797987,0.8195587064045096,0.572661742568016,0.47393364928909953,0.32661708228356295
seq_new,0.9057318878439569,0.47664141414141414,0.895128980611677,0.5151811018586159,0.7203791469194313,-0.03971831359447589
standard,0.8662138627655869,0.4497474747474748,0.8379604875285146,0.5372044295072556,0.5355450236966824,0.608268699231608
seq_new,0.9334574190177638,0.4976010101010101,0.8092810402639614,0.5114120095968246,0.7203791469194313,0.10488311922061955
standard,0.877324973876698,0.5046085858585858,0.8317105686120216,0.5565275251865387,0.5213270142180095,-0.15127131473798086
seq_new,0.9398532741205156,0.4603535353535354,0.9138932392882435,0.5163668617606163,0.7440758293838863,0.44691083659939107
standard,0.9254092650644375,0.45385101010101014,0.8460795301516657,0.5618247166275978,0.5402843601895735,0.3735932230808659
seq_new,0.8977163880181122,0.4601010101010101,0.8665434296554408,0.48744796961545944,0.7298578199052133,0.3433650367307806
standard,0.9544191919191919,0.48516414141414144,0.8512807354807599,0.5917152613401413,0.5545023696682464,0.2732140312023839
seq_new,0.8951280041797283,0.4784722222222223,0.8555526215558702,0.5347025468945503,0.7156398104265402,0.7528754177724015
standard,0.8795128004179729,0.46357323232323244,0.81058093127781,0.5660542398691177,0.5592417061611374,-0.3024487561696305
seq_new,0.9290621734587252,0.4532828282828284,0.8691528308990102,0.46014897525310516,0.6777251184834123,0.21904971528112324
standard,0.9047239637756879,0.476010101010101,0.8546809728105232,0.4875919595360756,0.5355450236966824,0.3006077519805531
seq_new,0.9131617903169627,0.4506313131313131,0.8930969131054888,0.5220661088824272,0.7488151658767772,0.22704360492720327
