method,f,c,d,u_pehe,u_policy,u_int
standard,0.47050423917893813,0.3442213297634985,0.8472206416360886,2.71319642663002,0.5704697986577181,-0.14732375821354154
seq_new,0.48799643016510486,0.32057117358322174,0.853791723294879,2.2889665067195892,0.8993288590604027,0.28906677135657427
standard,0.40258813029897356,0.28790718429272666,0.7798925554525047,3.8605573177337646,0.2348993288590604,0.44268188948414916
seq_new,0.3186077643908971,0.27380633645693886,0.9295662280362015,1.979490965604782,0.8993288590604027,0.4727121602131612
standard,0.3366354306113344,0.29656403391343156,0.8054231384290829,4.319415628910065,0.3691275167785235,-0.6854249998864808
seq_new,0.5004908522980812,0.36483712628290943,0.8788278345755637,2.19963738322258,0.8456375838926175,0.5553132012391444
standard,0.3479696564033914,0.29370816599732263,0.8869653889068212,3.582247257232666,0.5234899328859061,-0.21320913389678203
seq_new,0.42704149933065594,0.3380633645693887,0.8928973003421643,2.0361708998680115,0.785234899328859,0.306751611005344
standard,0.41311914323962506,0.3161088799643017,0.8958260709420767,3.9850587844848633,0.22818791946308725,-0.3101433592974871
seq_new,0.4451584114234717,0.3340473003123605,0.921983495540146,2.132838547229767,0.825503355704698,0.29316920350452597
standard,0.4161535029004908,0.32074966532797855,0.8422728086752842,4.814452409744263,0.26174496644295303,-0.22241368902149333
seq_new,0.4428380187416331,0.33806336456938857,0.8653719906857976,2.532405138015747,0.825503355704698,0.30318822509999993
standard,0.39750111557340473,0.293797411869701,0.8663998059823006,3.965859293937683,0.40268456375838924,0.1964821356169756
seq_new,0.44747880410531016,0.2970995091477019,0.9138913815013149,2.315453976392746,0.9060402684563759,0.2336343868618017
standard,0.4202588130298973,0.33931280678268627,0.8111200488444914,3.9779980778694153,0.5033557046979866,-0.11730200412929503
seq_new,0.4082998661311914,0.3667112896028558,0.9058346526629305,1.9239552021026611,0.9463087248322147,0.3217349875008365
standard,0.47826863007585907,0.30031236055332433,0.8535185865119191,3.3931896686553955,0.30201342281879195,0.13223310075907352
seq_new,0.38402498884426584,0.31637661758143687,0.9119231451726448,2.3257268369197845,0.8657718120805369,0.050595545800269995
standard,0.381615350290049,0.30191878625613566,0.7896384639905331,3.740198493003845,0.5704697986577181,-0.36840009407503105
seq_new,0.4883534136546185,0.382061579651941,0.8707581364660829,2.0354252457618713,0.8993288590604027,0.5419918518758958
