method,f,c,d,u_pehe,u_policy,u_int
standard,0.41829540383757235,0.13449352967425243,0.7348503378035469,3.1553056240081787,0.7718120805369127,0.22723549744548377
seq_new,0.6167782240071397,0.3977688531905399,0.8762901127143697,2.2362250685691833,0.912751677852349,0.4866305084885867
standard,0.6065149486836233,0.41258366800535484,0.8936919569482696,2.9296107292175293,0.4899328859060403,0.30250832943611294
seq_new,0.6061579651941098,0.40428380187416324,0.8973911870735894,2.444473147392273,0.825503355704698,0.28614117935586864
standard,0.6324854975457386,0.4709504685408299,0.8475380397119732,3.4105817079544067,0.5167785234899329,-0.0750764370904996
seq_new,0.590896921017403,0.3388665774207944,0.8306421014462655,2.8003239035606384,0.8926174496644296,0.3299946292566466
standard,0.5560910307898259,0.38402498884426584,0.7809033533387405,3.9802573323249817,0.4429530201342282,0.3246841224186019
seq_new,0.5972333779562695,0.3983935742971887,0.9088122822117992,2.656080722808838,0.7986577181208053,0.058272694908742005
standard,0.5511825078090138,0.3435966086568495,0.8306049263527759,3.0251243114471436,0.7181208053691275,-0.038803156623555005
seq_new,0.6267737617135207,0.44970995091477006,0.8577061627008834,2.05427348613739,0.8791946308724832,0.07959032528148557
standard,0.33815261044176703,0.21775992860330207,0.7533950382079488,4.426083147525787,0.28187919463087246,-0.1369376983427783
seq_new,0.5507362784471218,0.39830432842481034,0.8617931429595502,2.7618702054023743,0.8053691275167785,0.595891852778818
standard,0.5791164658634537,0.37947344935296745,0.7933539365002541,3.3912045657634735,0.5906040268456376,0.5588677223520748
seq_new,0.31209281570727343,0.14547077197679625,0.8140668181411516,2.6272972524166107,0.7718120805369127,0.46452935096881304
standard,0.6241856314145471,0.38714859437751015,0.899097254561479,2.8269076347351074,0.5637583892617449,0.003914324673647341
seq_new,0.35055778670236504,0.28915662650602414,0.8168197257280824,2.3073763251304626,0.7919463087248322,0.13407732434086672
standard,0.589112003569835,0.3593038821954484,0.8025849012460683,3.2220091819763184,0.35570469798657717,0.05144617585586439
seq_new,0.552342704149933,0.41285140562249,0.8761856817914105,2.966732978820801,0.7181208053691275,0.32561437272626564
standard,0.42079428826416776,0.25185185185185177,0.736875995261488,3.816837251186371,0.46308724832214765,-0.14488312350292606
seq_new,0.6429272646140116,0.3963409192324855,0.9332135267426331,2.255763739347458,0.9530201342281879,0.45744459762705986
