method,f,c,d,u_pehe,u_policy,u_int
standard,0.6308402585410896,0.35096952908587264,0.8680888583442752,4.929003290832043,0.25,0.6490758702529589
seq_new,0.7841181902123731,0.33868882733148653,0.9170210832815616,2.677681041881442,0.8680555555555556,-0.5922726647799789
standard,0.6283471837488458,0.3335180055401662,0.8868236585758427,3.8598972633481026,0.8125,0.08486818747868297
seq_new,0.7382271468144044,0.405540166204986,0.852780130293887,2.3080625468865037,0.8263888888888888,0.7396787103011111
standard,0.803601108033241,0.3908587257617727,0.9254991775721849,6.23034817352891,0.6597222222222222,0.9041771456485292
seq_new,0.8518005540166205,0.4052631578947369,0.8439283904225294,2.90815650857985,0.9652777777777778,-0.008608880526091295
standard,0.7874422899353648,0.3808864265927977,0.9433040173966905,7.5614719688892365,0.16666666666666666,0.9870598758352835
seq_new,0.7670360110803324,0.40212373037857807,0.8866113683213523,2.475308131426573,0.8472222222222222,-0.7690806902624878
standard,0.5493998153277933,0.3685133887349953,0.7286688537912888,4.451616447418928,0.7638888888888888,-0.5386895112439356
seq_new,0.8884102270194543,0.35410895660203134,0.8900011042391074,2.793477062135935,0.8263888888888888,-0.6793678485987371
standard,0.7509695290858726,0.3465373961218837,0.6893085119790738,6.861433804035187,0.1527777777777778,0.4054956663852133
seq_new,0.804432132963989,0.37008310249307486,0.8444665456834661,3.0812842808663845,0.8125,-0.755948350980507
standard,0.6807017543859649,0.3579870729455217,0.8894166656406632,5.137557953596115,0.5277777777777778,-0.7382892348869318
seq_new,0.887719298245614,0.3932594644506001,0.9094781202928262,2.7906175069510937,0.8194444444444444,-0.4017611126379473
standard,0.7844875346260388,0.39159741458910413,0.8678960138709115,4.010247677564621,0.8125,0.31019600692341753
seq_new,0.6950138504155124,0.3616805170821793,0.9055069585499768,2.414233058691025,0.8402777777777778,-0.35069261421033116
standard,0.7051708217913204,0.4139427516158818,0.8810691255731214,4.103588238358498,0.7847222222222222,0.7093088811999191
seq_new,0.7384118190212374,0.3327793167128348,0.909487643021714,2.137837339192629,0.8472222222222222,-0.6471962533971595
standard,0.8385964912280701,0.40997229916897504,0.9237767590046077,7.303519040346146,0.013888888888888888,-0.5569401346675439
seq_new,0.842344063425351,0.3844875346260389,0.8879039916229176,3.0761302709579468,0.8263888888888888,-0.7252568518193789
